,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
347,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",3,2,94,6257874,81.83333333333333,0.8124902803358182,0,98
348,"['rp', 'rerp', 'gas', 'regas', 'gad', 'trgad', 'trmk']",4,2,84,20314578,81.33333333333333,0.8097770385278461,0,106
349,"['rerp', 'trrp', 'trgas', 'regad', 'trgad', 'remk', 'ctwav']",3,3,95,9037140,80.66666666666667,0.8008022899262635,0,108
350,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk', 'ctwav']",3,1,91,3667525,82.0,0.8177764711159179,0,67
351,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,1,91,3663017,79.33333333333333,0.7887871957436862,0,67
352,"['rp', 'rerp', 'regas', 'gad', 'mk', 'remk', 'ctwav']",4,1,39,2866410,79.33333333333333,0.7847120511030525,0,76
353,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk']",3,1,94,3831194,82.83333333333333,0.8231887237015787,0,75
354,"['gas', 'regad', 'ctwav']",3,2,15,191188,68.16666666666667,0.6774325619371153,0,164
355,"['rp', 'rerp', 'gas', 'regad', 'trgad', 'trmk', 'ctwav']",3,3,37,1441332,75.33333333333333,0.7462341113391726,0,110
356,"['regas', 'gad', 'regad', 'mk', 'remk', 'ctwav']",2,2,33,202172,59.833333333333336,0.5866772700860791,0,117
357,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'trmk', 'ctwav']",3,2,12,112350,65.33333333333333,0.6446701830597373,0,199
358,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk', 'trmk']",3,1,94,3826588,80.66666666666667,0.8038815586979539,0,77
359,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,1,63,421228,68.66666666666667,0.6817941898869457,0,97
360,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,1,91,3667525,80.66666666666667,0.8015265190282016,0,69
361,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'ctwav']",4,3,15,1048880,79.0,0.7853169219243388,0,197
362,"['rp', 'gas', 'regas', 'trgas', 'trgad']",3,2,85,5225376,80.83333333333333,0.8036590496018774,0,85
363,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk']",3,1,93,3817376,80.16666666666667,0.7987642998743079,0,72
364,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'trmk', 'ctwav']",4,2,61,11095548,80.0,0.7946023040302553,0,116
365,"['rp', 'rerp', 'gas', 'trgas', 'mk']",3,1,94,3812770,80.5,0.8012238774687735,0,68
